Country,ISO,State,City,Label
USA,USA,Alabama,Franklin,210
USA,USA,Alabama,Wilcox,210
USA,USA,Alabama,Lawrence,210
USA,USA,Alabama,Fayette,210
USA,USA,Alabama,Lamar,210
USA,USA,Alabama,Blount,210
USA,USA,Alabama,Crenshaw,210
USA,USA,Alabama,Butler,210
USA,USA,Alabama,Covington,210
USA,USA,Alabama,Pike,210
USA,USA,Alabama,Walker,210
USA,USA,Alabama,Autauga,210
USA,USA,Alabama,Chilton,210
USA,USA,Alabama,Coosa,210
USA,USA,Alabama,Barbour,210
USA,USA,Alabama,Tallapoosa,210
USA,USA,Alabama,Elmore,210
USA,USA,Alabama,DeKalb,210
USA,USA,Alabama,Sumter,210
USA,USA,Alabama,Talladega,210
USA,USA,Alabama,Cherokee,210
USA,USA,Alabama,Colbert,210
USA,USA,Alabama,Morgan,210
USA,USA,Alabama,Hale,210
USA,USA,Alabama,Henry,210
USA,USA,Alabama,Clay,210
USA,USA,Alabama,Cullman,210
USA,USA,Alabama,Cleburne,210
USA,USA,Alabama,Calhoun,210
USA,USA,Alabama,Lauderdale,210
USA,USA,Alabama,Marion,210
USA,USA,Alabama,Winston,210
USA,USA,Alabama,Tuscaloosa,210
USA,USA,Alabama,St. Clair,210
USA,USA,Alabama,Bullock,210
USA,USA,Alabama,Limestone,210
USA,USA,Alabama,Jackson,210
USA,USA,Alabama,Greene,210
USA,USA,Alabama,Geneva,210
USA,USA,Alabama,Conecuh,210
USA,USA,Alabama,Coffee,210
USA,USA,Alabama,Russell,210
USA,USA,Alabama,Escambia,210
USA,USA,Alabama,Shelby,210
USA,USA,Alabama,Macon,210
USA,USA,Alabama,Clarke,210
USA,USA,Alabama,Mobile,210
USA,USA,Alabama,Choctaw,210
USA,USA,Alabama,Bibb,210
USA,USA,Alabama,Pickens,210
USA,USA,Alabama,Monroe,210
USA,USA,Alabama,Randolph,210
USA,USA,Alabama,Baldwin,210
USA,USA,Alabama,Washington,210
USA,USA,Alabama,Dale,210
USA,USA,Alabama,Madison,210
USA,USA,Alabama,Lee,210
USA,USA,Alabama,Dallas,210
USA,USA,Alabama,Marshall,210
USA,USA,Alabama,Chambers,210
USA,USA,Alabama,Perry,210
USA,USA,Alabama,Houston,210
USA,USA,Alabama,Montgomery,210
USA,USA,Alabama,Lowndes,210
USA,USA,Alabama,Marengo,210
USA,USA,Alabama,Jefferson,210
USA,USA,Alabama,Etowah,210
